,Device ID,Memory
363,11089,1TB
364,11089,256GB
365,11089,512GB
366,11102,128GB
367,11102,1TB
368,11102,256GB
369,11102,512GB
370,11103,128GB
371,11103,256GB
372,11103,512GB
373,11104,128GB
374,11104,256GB
375,11104,512GB
376,11105,256GB
377,11105,64GB
378,11106,256GB
379,11106,64GB
380,11147,32GB
381,11146,32GB
382,11107,32GB
383,10864,128GB
384,10864,1TB
385,10864,256GB
386,10864,2TB
387,10864,512GB
388,10865,128GB
389,10865,1TB
390,10865,256GB
391,10865,2TB
392,10865,512GB
393,10237,128GB
394,10237,256GB
395,10237,512GB
396,10508,128GB
397,10508,256GB
398,10508,512GB
399,10509,128GB
400,10509,256GB
401,10509,64GB
402,10510,128GB
403,10510,256GB
404,10510,64GB
405,10444,256GB
406,10444,64GB
407,10445,128GB
408,10445,32GB
409,10446,32GB
410,10447,32GB
411,10448,32GB
412,10449,32GB
413,10170,128GB
414,10170,256GB
415,10170,64GB
416,10136,128GB
417,10136,1TB
418,10136,256GB
419,10136,512GB
420,10137,128GB
421,10137,1TB
422,10137,256GB
423,10137,512GB
424,9846,256GB
425,9846,512GB
426,9846,64GB
427,9847,256GB
428,9847,512GB
429,9847,64GB
430,9848,128GB
431,9848,256GB
432,9848,64GB
433,9857,128GB
434,9857,32GB
435,9860,32GB
436,9859,32GB
437,9858,32GB
438,9638,256GB
439,9638,64GB
440,9637,256GB
441,9637,64GB
442,9387,1TB
443,9387,256GB
444,9387,512GB
445,9387,64GB
446,9386,1TB
447,9386,256GB
448,9386,512GB
449,9386,64GB
450,9319,256GB
451,9319,512GB
452,9319,64GB
453,9318,256GB
454,9318,512GB
455,9318,64GB
456,9320,128GB
457,9320,256GB
458,9320,64GB
459,9321,16GB
460,9322,16GB
461,9142,128GB
462,9142,32GB
463,8858,256GB
464,8858,64GB
465,8131,128GB
466,8131,256GB
467,8131,64GB
468,8573,128GB
469,8573,256GB
470,8573,64GB
471,8861,16GB
472,8860,16GB
473,8859,16GB
474,8859,8GB
475,8717,256GB
476,8717,512GB
477,8717,64GB
478,8716,256GB
479,8716,512GB
480,8716,64GB
481,8620,128GB
482,8620,32GB
483,8331,8GB
484,8332,8GB
485,8329,8GB
486,8330,8GB
487,8328,8GB
488,8334,8GB
489,8327,8GB
490,8333,8GB
491,8065,128GB
492,8065,256GB
493,8065,32GB
494,8064,128GB
495,8064,256GB
496,8064,32GB
497,7984,128GB
498,7984,256GB
499,7984,32GB
500,7969,128GB
501,7969,16GB
502,7969,32GB
503,7969,64GB
504,7243,128GB
505,7243,16GB
506,7243,32GB
507,7243,64GB
508,7242,128GB
509,7242,16GB
510,7242,32GB
511,7242,64GB
512,7562,128GB
513,7562,256GB
514,7562,32GB
515,7561,128GB
516,7561,16GB
517,7561,32GB
518,7561,64GB
519,7698,8GB
520,7697,8GB
521,7696,8GB
522,7695,8GB
523,7694,8GB
524,7693,8GB
525,6742,128GB
526,6742,16GB
527,6742,32GB
528,6742,64GB
529,6741,128GB
530,6741,16GB
531,6741,64GB
532,6665,128GB
533,6665,16GB
534,6665,64GB
535,6378,128GB
536,6378,16GB
537,6378,32GB
538,6378,64GB
539,5797,128GB
540,5797,16GB
541,5797,32GB
542,5797,64GB
543,5735,128GB
544,5735,16GB
545,5735,32GB
546,5735,64GB
547,5685,16GB
548,5685,32GB
549,5685,64GB
550,5690,16GB
551,5690,32GB
552,5690,8GB
553,5070,16GB
554,5070,32GB
555,5070,64GB
556,5061,16GB
557,5061,32GB
558,5061,64GB
559,5072,128GB
560,5072,16GB
561,5072,32GB
562,5072,64GB
563,5071,128GB
564,5071,16GB
565,5071,32GB
566,5071,64GB
567,4910,16GB
568,4910,32GB
569,4910,64GB
570,4620,16GB
571,4620,32GB
572,4620,64GB
573,4621,16GB
574,4621,32GB
575,4621,64GB
576,4212,16GB
577,4212,32GB
578,4212,64GB
579,4212,8GB
580,3848,16GB
581,3848,32GB
582,3848,64GB
583,3847,16GB
584,3847,32GB
585,3847,64GB
586,3849,16GB
587,3849,32GB
588,3849,64GB
589,3275,16GB
590,3275,32GB
591,3275,8GB
592,3716,16GB
593,3716,32GB
594,3827,16GB
595,3827,32GB
596,3827,64GB
597,3828,16GB
598,3828,32GB
599,3828,64GB
600,12746,1TB
601,12746,512GB
602,12780,256GB
603,12380,128GB
604,12380,256GB
605,12380,512GB
606,12224,512GB
607,12223,256GB
608,12223,512GB
609,11880,512GB
610,11881,256GB
611,11986,512GB
612,11882,256GB
613,11656,128GB
614,11656,256GB
615,11648,512GB
616,11647,128GB
617,11647,256GB
618,11647,512GB
619,11053,512GB
620,11054,128GB
621,11054,256GB
622,11054,512GB
623,11006,512GB
624,10892,128GB
625,10892,256GB
626,10893,128GB
627,10893,256GB
628,10785,512GB
629,10784,512GB
630,10715,128GB
631,10715,256GB
632,10393,256GB
633,10379,128GB
634,10296,128GB
635,10296,256GB
