,Device ID,Body Dims(mm),Body Hight(mm),Body Width(mm),Body Depth(mm),Body Dims(inch),Body Hight(inch),Body Width(inch),Body Depth(inch),Body Weight(g),Body Weight(oz)
1191,12185,253.7 x 165.3 x 7.2,253.7,165.3,7.2,9.99 x 6.51 x 0.28,9.99,6.51,0.28,480.0,
1192,12154,164.6 x 75.6 x 7.9,164.6,75.6,7.9,6.48 x 2.98 x 0.31,6.48,2.98,0.31,191.0,6.74
1193,12021,47 x 47.5 x 15,47.0,47.5,15.0,1.85 x 1.87 x 0.59,1.85,1.87,0.59,66.5,2.36
1194,12020,164.3 x 75.8 x 8.9,164.3,75.8,8.9,6.47 x 2.98 x 0.35,6.47,2.98,0.35,188.0,6.63
1195,11980,46.4 x 46.4 x 11,46.4,46.4,11.0,1.83 x 1.83 x 0.43,1.83,1.83,0.43,35.6,1.27
1196,11970,,,,,,,,,,
1197,11972,,,,,,,,,,
1198,11968,164.3 x 75.8 x 8.9,164.3,75.8,8.9,6.47 x 2.98 x 0.35,6.47,2.98,0.35,188.0,6.63
1199,11942,240.2 x 159 x 7.9,240.2,159.0,7.9,9.46 x 6.26 x 0.31,9.46,6.26,0.31,450.0,
1200,11918,162.4 x 75.5 x 7.4,162.4,75.5,7.4,6.39 x 2.97 x 0.29,6.39,2.97,0.29,184.0,6.49
1201,11858,162.1 x 75.5 x 9.9,162.1,75.5,9.9,6.38 x 2.97 x 0.39,6.38,2.97,0.39,232.0,8.18
1202,11856,162.1 x 75.5 x 8.5,162.1,75.5,8.5,6.38 x 2.97 x 0.33,6.38,2.97,0.33,205.0,7.23
1203,11859,161.5 x 76.1 x 8,161.5,76.1,8.0,6.36 x 3.00 x 0.31,6.36,3.0,0.31,201.0,7.09
1204,11857,161.5 x 76.1 x 8,161.5,76.1,8.0,6.36 x 3.00 x 0.31,6.36,3.0,0.31,202.0,7.13
1205,11853,160.7 x 73.3 x 8.4,160.7,73.3,8.4,6.33 x 2.89 x 0.33,6.33,2.89,0.33,179.0,6.31
1206,11720,249.2 x 160.4 x 5.9,249.2,160.4,5.9,9.81 x 6.31 x 0.23,9.81,6.31,0.23,449.0,
1207,11640,164.2 x 74.5 x 7.9,164.2,74.5,7.9,6.46 x 2.93 x 0.31,6.46,2.93,0.31,191.0,6.74
1208,11641,162.2 x 73.9 x 6.9,162.2,73.9,6.9,6.39 x 2.91 x 0.27,6.39,2.91,0.27,168.0,5.93
1209,11639,163.3 x 74.7 x 8.4,163.3,74.7,8.4,6.43 x 2.94 x 0.33,6.43,2.94,0.33,195.0,6.88
1210,11525,245.2 x 155 x 7.5,245.2,155.0,7.5,9.65 x 6.10 x 0.30,9.65,6.1,0.3,460.0,
1211,11503,,,,,,,,,,
1212,11505,46.6 x 46.6 x 10.9,46.6,46.6,10.9,1.83 x 1.83 x 0.43,1.83,1.83,0.43,54.0,1.9
1213,11504,46.6 x 46.6 x 10.9,46.6,46.6,10.9,1.83 x 1.83 x 0.43,1.83,1.83,0.43,50.0,
1214,12030,51 x 38 x 13.6,51.0,38.0,13.6,2.01 x 1.50 x 0.54,2.01,1.5,0.54,40.9,1.45
1215,11506,240.2 x 159 x 7.9,240.2,159.0,7.9,9.46 x 6.26 x 0.31,9.46,6.26,0.31,450.0,
1216,11490,164.6 x 75.6 x 7.9,164.6,75.6,7.9,6.48 x 2.98 x 0.31,6.48,2.98,0.31,191.0,6.74
1217,11489,168.3 x 77.7 x 9,168.3,77.7,9.0,6.63 x 3.06 x 0.35,6.63,3.06,0.35,199.0,7.02
1218,11428,156.5 x 73.8 x 7.9,156.5,73.8,7.9,6.16 x 2.91 x 0.31,6.16,2.91,0.31,181.0,6.38
1219,11399,164.6 x 75.6 x 7.9,164.6,75.6,7.9,6.48 x 2.98 x 0.31,6.48,2.98,0.31,191.0,6.74
1220,11280,,,,,,,,,,
1221,11247,161.5 x 74.8 x 7.5,161.5,74.8,7.5,6.36 x 2.94 x 0.30,6.36,2.94,0.3,180.0,6.35
1222,11328,165.2 x 76 x 9.2,165.2,76.0,9.2,6.50 x 2.99 x 0.36,6.5,2.99,0.36,185.0,6.53
1223,11177,159.1 x 74.1 x 9,159.1,74.1,9.0,6.26 x 2.92 x 0.35,6.26,2.92,0.35,185.0,6.53
1224,11227,46.4 x 46.4 x 11,46.4,46.4,11.0,1.83 x 1.83 x 0.43,1.83,1.83,0.43,38.5,1.38
1225,11176,51.5 x 25.9 x 11,51.5,25.9,11.0,2.03 x 1.02 x 0.43,2.03,1.02,0.43,20.0,0.71
