,Device ID,Body Dims(mm),Body Hight(mm),Body Width(mm),Body Depth(mm),Body Dims(inch),Body Hight(inch),Body Width(inch),Body Depth(inch),Body Weight(g),Body Weight(oz)
0,11706,146.7 x 71.9 x 10,146.7,71.9,10.0,5.78 x 2.83 x 0.39,5.78,2.83,0.39,172.0,6.07
1,10981,156.4 x 74.8 x 9.7,156.4,74.8,9.7,6.16 x 2.94 x 0.38,6.16,2.94,0.38,190.0,6.7
2,10980,137.6 x 65.7 x 9.8,137.6,65.7,9.8,5.42 x 2.59 x 0.39,5.42,2.59,0.39,134.0,4.73
3,10679,165.6 x 75.6 x 8.7,165.6,75.6,8.7,6.52 x 2.98 x 0.34,6.52,2.98,0.34,194.0,6.84
4,10680,165.6 x 75.6 x 8.8,165.6,75.6,8.8,6.52 x 2.98 x 0.35,6.52,2.98,0.35,190.0,6.7
5,10682,155.9 x 74.5 x 9.9,155.9,74.5,9.9,6.14 x 2.93 x 0.39,6.14,2.93,0.39,179.0,6.31
6,11659,165.2 x 75.5 x 8.9,165.2,75.5,8.9,6.50 x 2.97 x 0.35,6.5,2.97,0.35,190.0,6.7
7,10618,159.2 x 75.2 x 8.7,159.2,75.2,8.7,6.27 x 2.96 x 0.34,6.27,2.96,0.34,175.0,6.17
8,12017,107.3 x 55.6 x 19.9,107.3,55.6,19.9,4.22 x 2.19 x 0.78,4.22,2.19,0.78,133.0,4.69
9,10500,104.9 x 53.1 x 20.1,104.9,53.1,20.1,4.13 x 2.09 x 0.79,4.13,2.09,0.79,118.0,4.16
10,10501,104.9 x 52.8 x 18.7,104.9,52.8,18.7,4.13 x 2.08 x 0.74,4.13,2.08,0.74,118.0,4.16
11,12041,243.3 x 161.2 x 9.4,243.3,161.2,9.4,9.58 x 6.35 x 0.37,9.58,6.35,0.37,475.0,
12,10490,165 x 75 x 9.1,165.0,75.0,9.1,6.50 x 2.95 x 0.36,6.5,2.95,0.36,186.0,6.56
13,10016,158.7 x 74.6 x 8.5,158.7,74.6,8.5,6.25 x 2.94 x 0.33,6.25,2.94,0.33,165.0,5.82
14,10017,158.7 x 74.6 x 8.5,158.7,74.6,8.5,6.25 x 2.94 x 0.33,6.25,2.94,0.33,165.0,5.82
15,10018,158.7 x 74.8 x 8.9,158.7,74.8,8.9,6.25 x 2.94 x 0.35,6.25,2.94,0.35,160.0,5.64
16,10019,146.1 x 71.6 x 9.9,146.1,71.6,9.9,5.75 x 2.82 x 0.39,5.75,2.82,0.39,168.0,5.93
17,10042,174.5 x 83.3 x 8.4,174.5,83.3,8.4,6.87 x 3.28 x 0.33,6.87,3.28,0.33,197.9,6.98
18,9842,164.9 x 75.8 x 8.4,164.9,75.8,8.4,6.49 x 2.98 x 0.33,6.49,2.98,0.33,178.0,6.28
19,9843,149.1 x 72.2 x 8.9,149.1,72.2,8.9,5.87 x 2.84 x 0.35,5.87,2.84,0.35,153.2,5.4
20,10108,209.5 x 125 x 8.3,209.5,125.0,8.3,8.25 x 4.92 x 0.33,8.25,4.92,0.33,279.0,9.84
21,9837,176 x 126 x 12,176.0,126.0,12.0,6.93 x 4.96 x 0.47,6.93,4.96,0.47,268.0,9.45
22,9601,260 x 156.6 x 9,260.0,156.6,9.0,10.24 x 6.17 x 0.35,10.24,6.17,0.35,440.0,15.52
23,9600,151.1 x 69.7 x 8,151.1,69.7,8.0,5.95 x 2.74 x 0.31,5.95,2.74,0.31,145.0,5.11
24,9599,151.1 x 69.7 x 8,151.1,69.7,8.0,5.95 x 2.74 x 0.31,5.95,2.74,0.31,145.0,5.11
25,9598,147.8 x 70.7 x 8.6,147.8,70.7,8.6,5.82 x 2.78 x 0.34,5.82,2.78,0.34,146.0,5.15
26,9510,146.4 x 68.8 x 8.3,146.4,68.8,8.3,5.76 x 2.71 x 0.33,5.76,2.71,0.33,130.0,4.59
27,9511,136.6 x 65.3 x 10,136.6,65.3,10.0,5.38 x 2.57 x 0.39,5.38,2.57,0.39,148.0,5.22
28,9985,137.6 x 65.7 x 9.8,137.6,65.7,9.8,5.42 x 2.59 x 0.39,5.42,2.59,0.39,134.0,4.73
29,9574,142.5 x 71.9 x 9.4,142.5,71.9,9.4,5.61 x 2.83 x 0.37,5.61,2.83,0.37,150.0,5.29
30,9291,162.1 x 75 x 8.6,162.1,75.0,8.6,6.38 x 2.95 x 0.34,6.38,2.95,0.34,175.0,6.17
31,9271,153.7 x 74.5 x 8.5,153.7,74.5,8.5,6.05 x 2.93 x 0.33,6.05,2.93,0.33,158.0,5.57
32,9012,152.3 x 71.1 x 8.4,152.3,71.1,8.4,6.00 x 2.80 x 0.33,6.0,2.8,0.33,144.0,5.08
33,9004,162 x 76 x 8.1,162.0,76.0,8.1,6.38 x 2.99 x 0.32,6.38,2.99,0.32,155.0,5.47
34,9084,153.5 x 71.6 x 8.5,153.5,71.6,8.5,6.04 x 2.82 x 0.33,6.04,2.82,0.33,144.0,5.08
35,9085,147.1 x 68.8 x 8.5,147.1,68.8,8.5,5.79 x 2.71 x 0.33,5.79,2.71,0.33,145.0,5.11
36,9086,147.5 x 70.6 x 9.1,147.5,70.6,9.1,5.81 x 2.78 x 0.36,5.81,2.78,0.36,151.0,5.33
37,8989,161 x 76 x 7.9,161.0,76.0,7.9,6.34 x 2.99 x 0.31,6.34,2.99,0.31,169.0,5.96
38,9986,125.2 x 50.5 x 12.8,125.2,50.5,12.8,4.93 x 1.99 x 0.50,4.93,1.99,0.5,90.0,3.17
39,9093,255 x 155 x 9.4,255.0,155.0,9.4,10.04 x 6.10 x 0.37,10.04,6.1,0.37,415.0,14.64
40,9094,189.5 x 111 x 9.2,189.5,111.0,9.2,7.46 x 4.37 x 0.36,7.46,4.37,0.36,245.0,8.64
41,8844,148.6 x 72 x 7.5,148.6,72.0,7.5,5.85 x 2.83 x 0.30,5.85,2.83,0.3,147.0,5.19
42,8832,148 x 73 x 7.5,148.0,73.0,7.5,5.83 x 2.87 x 0.30,5.83,2.87,0.3,155.0,5.47
43,8843,159.6 x 81.5 x 8.7,159.6,81.5,8.7,6.28 x 3.21 x 0.34,6.28,3.21,0.34,175.0,6.17
44,8830,152.7 x 76.5 x 9,152.7,76.5,9.0,6.01 x 3.01 x 0.35,6.01,3.01,0.35,,5.78
45,8819,141.8 x 71.4 x 9,141.8,71.4,9.0,5.58 x 2.81 x 0.35,5.58,2.81,0.35,129.0,4.55
46,8803,146.1 x 71.9 x 7.9,146.1,71.9,7.9,5.75 x 2.83 x 0.31,5.75,2.83,0.31,,5.15
47,8569,148.6 x 70.9 x 7.4,148.6,70.9,7.4,5.85 x 2.79 x 0.29,5.85,2.79,0.29,148.8,5.26
48,8639,152.6 x 75.4 x 8.7,152.6,75.4,8.7,6.01 x 2.97 x 0.34,6.01,2.97,0.34,155.0,5.47
49,8591,140.7 x 71.8 x 10,140.7,71.8,10.0,5.54 x 2.83 x 0.39,5.54,2.83,0.39,,
50,8590,146 x 72.1 x 7.7,146.0,72.1,7.7,5.75 x 2.84 x 0.30,5.75,2.84,0.3,,
51,8589,142 x 70.5 x 8.6,142.0,70.5,8.6,5.59 x 2.78 x 0.34,5.59,2.78,0.34,,
52,8512,165 x 82.5 x 7.9,165.0,82.5,7.9,6.50 x 3.25 x 0.31,6.5,3.25,0.31,,
53,8377,141.5 x 71.2 x 7.5,141.5,71.2,7.5,5.57 x 2.80 x 0.30,5.57,2.8,0.3,156.0,5.5
54,8352,152 x 78.3 x 9.9,152.0,78.3,9.9,5.98 x 3.08 x 0.39,5.98,3.08,0.39,202.0,7.13
55,8298,150.9 x 77 x 8.1,150.9,77.0,8.1,5.94 x 3.03 x 0.32,5.94,3.03,0.32,163.9,5.78
56,8205,145 x 69.2 x 7,145.0,69.2,7.0,5.71 x 2.72 x 0.28,5.71,2.72,0.28,140.0,4.94
57,8157,140.7 x 72.7 x 9.5,140.7,72.7,9.5,5.54 x 2.86 x 0.37,5.54,2.86,0.37,148.0,5.22
58,8105,152.6 x 76.4 x 8.2,152.6,76.4,8.2,6.01 x 3.01 x 0.32,6.01,3.01,0.32,,5.54
59,8060,192 x 110 x 9.4,192.0,110.0,9.4,7.56 x 4.33 x 0.37,7.56,4.33,0.37,295.1,10.41
60,7937,152 x 77 x 7.9,152.0,77.0,7.9,5.98 x 3.03 x 0.31,5.98,3.03,0.31,,
61,7936,151 x 77 x 8,151.0,77.0,8.0,5.94 x 3.03 x 0.31,5.94,3.03,0.31,,
62,7935,140.7 x 71.4 x 8,140.7,71.4,8.0,5.54 x 2.81 x 0.31,5.54,2.81,0.31,,
63,8449,153.9 x 75.4 x 7,153.9,75.4,7.0,6.06 x 2.97 x 0.28,6.06,2.97,0.28,152.0,5.36
64,7896,153.9 x 75.4 x 7,153.9,75.4,7.0,6.06 x 2.97 x 0.28,6.06,2.97,0.28,149.0,5.26
65,7897,147 x 72.5 x 7.1,147.0,72.5,7.1,5.79 x 2.85 x 0.28,5.79,2.85,0.28,135.0,4.76
66,7856,151.9 x 77.8 x 9.5,151.9,77.8,9.5,5.98 x 3.06 x 0.37,5.98,3.06,0.37,174.0,6.14
67,7851,40 x 40 x 15.8,40.0,40.0,15.8,1.57 x 1.57 x 0.62,1.57,1.57,0.62,,
68,7847,189.2 x 107.6 x 9.2,189.2,107.6,9.2,7.45 x 4.24 x 0.36,7.45,4.24,0.36,,
69,8167,168.5 x 86.4 x 8,168.5,86.4,8.0,6.63 x 3.40 x 0.31,6.63,3.4,0.31,179.0,6.31
70,7846,165 x 83.8 x 8.3,165.0,83.8,8.3,6.50 x 3.30 x 0.33,6.5,3.3,0.33,,
71,7845,121.3 x 64.4 x 9.7,121.3,64.4,9.7,4.78 x 2.54 x 0.38,4.78,2.54,0.38,,
72,7844,116 x 62 x 10,116.0,62.0,10.0,4.57 x 2.44 x 0.39,4.57,2.44,0.39,,
73,7843,209 x 124.9 x 8.3,209.0,124.9,8.3,8.23 x 4.92 x 0.33,8.23,4.92,0.33,,
74,8230,151.9 x 77.8 x 9.5,151.9,77.8,9.5,5.98 x 3.06 x 0.37,5.98,3.06,0.37,174.0,6.14
75,7776,141 x 71.5 x 9.9,141.0,71.5,9.9,5.55 x 2.81 x 0.39,5.55,2.81,0.39,167.0,5.89
76,7720,151.9 x 77.8 x 9.5,151.9,77.8,9.5,5.98 x 3.06 x 0.37,5.98,3.06,0.37,173.0,6.1
77,7709,41.8 x 41.8 x 10.5,41.8,41.8,10.5,1.65 x 1.65 x 0.41,1.65,1.65,0.41,,
78,7708,50.5 x 50.5 x 13,50.5,50.5,13.0,1.99 x 1.99 x 0.51,1.99,1.99,0.51,,
79,7570,145.8 x 70.4 x 9,145.8,70.4,9.0,5.74 x 2.77 x 0.35,5.74,2.77,0.35,140.0,4.94
80,7652,108.5 x 45 x 12.6,108.5,45.0,12.6,4.27 x 1.77 x 0.50,4.27,1.77,0.5,63.0,2.22
81,7571,119 x 50 x 9.8,119.0,50.0,9.8,4.69 x 1.97 x 0.39,4.69,1.97,0.39,72.0,2.54
82,7549,152.7 x 75.1 x 7.9,152.7,75.1,7.9,6.01 x 2.96 x 0.31,6.01,2.96,0.31,,
83,7548,255.5 x 155 x 9.5,255.5,155.0,9.5,10.06 x 6.10 x 0.37,10.06,6.1,0.37,,
84,7547,122.1 x 64.4 x 9.7,122.1,64.4,9.7,4.81 x 2.54 x 0.38,4.81,2.54,0.38,,
85,7546,143 x 71.9 x 8.2,143.0,71.9,8.2,5.63 x 2.83 x 0.32,5.63,2.83,0.32,,
86,7545,142.5 x 71.5 x 8.6,142.5,71.5,8.6,5.61 x 2.81 x 0.34,5.61,2.81,0.34,,
87,7544,141 x 71.5 x 8.6,141.0,71.5,8.6,5.55 x 2.81 x 0.34,5.55,2.81,0.34,,
88,7543,143.3 x 73.3 x 9.2,143.3,73.3,9.2,5.64 x 2.89 x 0.36,5.64,2.89,0.36,,
89,7190,152.3 x 76.4 x 8,152.3,76.4,8.0,6.00 x 3.01 x 0.31,6.0,3.01,0.31,147.0,5.19
90,7234,133.6 x 65.3 x 9.9,133.6,65.3,9.9,5.26 x 2.57 x 0.39,5.26,2.57,0.39,144.9,5.11
91,7189,152.1 x 76.2 x 8.1,152.1,76.2,8.1,5.99 x 3.00 x 0.32,5.99,3.0,0.32,,
92,7081,152.7 x 75.1 x 7.4,152.7,75.1,7.4,6.01 x 2.96 x 0.29,6.01,2.96,0.29,141.0,4.97
93,7080,134.6 x 65.9 x 7.6,134.6,65.9,7.6,5.30 x 2.59 x 0.30,5.3,2.59,0.3,110.0,3.88
94,7092,112.2 x 62 x 11.9,112.2,62.0,11.9,4.42 x 2.44 x 0.47,4.42,2.44,0.47,,
95,7093,,,,,,,,,,
96,7094,,,,,,,,,,
97,7098,209 x 124 x 9.2,209.0,124.0,9.2,8.23 x 4.88 x 0.36,8.23,4.88,0.36,335.0,11.82
98,7097,191 x 109 x 9.2,191.0,109.0,9.2,7.52 x 4.29 x 0.36,7.52,4.29,0.36,260.0,9.17
99,7096,189 x 111 x 9.1,189.0,111.0,9.1,7.44 x 4.37 x 0.36,7.44,4.37,0.36,260.0,9.17
100,7095,189 x 111 x 9.1,189.0,111.0,9.1,7.44 x 4.37 x 0.36,7.44,4.37,0.36,260.0,9.17
101,6936,245.2 x 146.4 x 7.9,245.2,146.4,7.9,9.65 x 5.76 x 0.31,9.65,5.76,0.31,380.0,13.4
102,6935,141 x 71.5 x 10,141.0,71.5,10.0,5.55 x 2.81 x 0.39,5.55,2.81,0.39,,
103,6934,132.2 x 65.1 x 10,132.2,65.1,10.0,5.20 x 2.56 x 0.39,5.2,2.56,0.39,125.0,4.41
104,6933,121.3 x 64.2 x 11.6,121.3,64.2,11.6,4.78 x 2.53 x 0.46,4.78,2.53,0.46,110.0,3.88
105,6979,112.2 x 62 x 11.9,112.2,62.0,11.9,4.42 x 2.44 x 0.47,4.42,2.44,0.47,98.0,3.46
106,6932,112.2 x 62 x 11.9,112.2,62.0,11.9,4.42 x 2.44 x 0.47,4.42,2.44,0.47,100.0,3.53
107,6774,121.6 x 64.4 x 12.1,121.6,64.4,12.1,4.79 x 2.54 x 0.48,4.79,2.54,0.48,114.0,4.02
108,6773,112.2 x 62 x 12,112.2,62.0,12.0,4.42 x 2.44 x 0.47,4.42,2.44,0.47,101.0,3.56
109,6732,141 x 72.1 x 9.9,141.0,72.1,9.9,5.55 x 2.84 x 0.39,5.55,2.84,0.39,149.0,5.26
110,6712,112.2 x 62 x 12,112.2,62.0,12.0,4.42 x 2.44 x 0.47,4.42,2.44,0.47,93.0,3.28
111,7123,141 x 71.5 x 8.9,141.0,71.5,8.9,5.55 x 2.81 x 0.35,5.55,2.81,0.35,151.0,5.33
112,6700,141 x 71.5 x 9.7,141.0,71.5,9.7,5.55 x 2.81 x 0.38,5.55,2.81,0.38,170.0,6.0
113,6699,121.5 x 64.4 x 12.4,121.5,64.4,12.4,4.78 x 2.54 x 0.49,4.78,2.54,0.49,125.0,4.41
114,6657,132.5 x 65.4 x 9.9,132.5,65.4,9.9,5.22 x 2.57 x 0.39,5.22,2.57,0.39,147.0,5.19
115,6656,132.5 x 65.4 x 10,132.5,65.4,10.0,5.22 x 2.57 x 0.39,5.22,2.57,0.39,147.0,5.19
116,7154,141 x 71.9 x 9.9,141.0,71.9,9.9,5.55 x 2.83 x 0.39,5.55,2.83,0.39,149.1,5.26
117,7153,121.6 x 64.5 x 11.7,121.6,64.5,11.7,4.79 x 2.54 x 0.46,4.79,2.54,0.46,121.1,4.27
118,6655,209 x 128 x 7.2,209.0,128.0,7.2,8.23 x 5.04 x 0.28,8.23,5.04,0.28,327.0,11.53
119,6654,209 x 122 x 7.3,209.0,122.0,7.3,8.23 x 4.80 x 0.29,8.23,4.8,0.29,310.0,10.93
120,6653,160.5 x 81.6 x 7.9,160.5,81.6,7.9,6.32 x 3.21 x 0.31,6.32,3.21,0.31,175.0,6.17
121,6619,112.5 x 62 x 12,112.5,62.0,12.0,4.43 x 2.44 x 0.47,4.43,2.44,0.47,100.0,3.53
122,6599,132.5 x 67.9 x 10,132.5,67.9,10.0,5.22 x 2.67 x 0.39,5.22,2.67,0.39,150.0,5.29
123,6516,122 x 64.4 x 12,122.0,64.4,12.0,4.80 x 2.54 x 0.47,4.8,2.54,0.47,116.0,4.09
124,6459,209 x 124.5 x 9,209.0,124.5,9.0,8.23 x 4.90 x 0.35,8.23,4.9,0.35,325.0,11.46
125,6931,107 x 53.7 x 14,107.0,53.7,14.0,4.21 x 2.11 x 0.55,4.21,2.11,0.55,98.0,3.46
126,6695,106 x 52.5 x 13.6,106.0,52.5,13.6,4.17 x 2.07 x 0.54,4.17,2.07,0.54,95.0,3.35
127,6696,108.5 x 44.8 x 13,108.5,44.8,13.0,4.27 x 1.76 x 0.51,4.27,1.76,0.51,74.0,2.61
128,6337,123.4 x 51.5 x 12.4,123.4,51.5,12.4,4.86 x 2.03 x 0.49,4.86,2.03,0.49,77.9,2.75
129,6336,120 x 50 x 10,120.0,50.0,10.0,4.72 x 1.97 x 0.39,4.72,1.97,0.39,85.0,3.0
130,6165,192 x 113 x 9,192.0,113.0,9.0,7.56 x 4.45 x 0.35,7.56,4.45,0.35,279.0,9.84
131,6164,,,,,,,,,,
132,6153,162.4 x 84.4 x 8.6,162.4,84.4,8.6,6.39 x 3.32 x 0.34,6.39,3.32,0.34,182.0,6.42
133,6152,141 x 72 x 9.4,141.0,72.0,9.4,5.55 x 2.83 x 0.37,5.55,2.83,0.37,162.0,5.71
134,6151,123 x 64.4 x 9.9,123.0,64.4,9.9,4.84 x 2.54 x 0.39,4.84,2.54,0.39,130.0,4.59
135,6141,,,,,,,,,,
136,6140,129.5 x 63.5 x 8.5,129.5,63.5,8.5,5.10 x 2.5 x 0.33,5.1,2.5,0.33,126.0,4.44
137,6139,129 x 63.5 x 8.2,129.0,63.5,8.2,5.08 x 2.5 x 0.32,5.08,2.5,0.32,103.0,3.63
138,6138,112.2 x 62 x 12,112.2,62.0,12.0,4.42 x 2.44 x 0.47,4.42,2.44,0.47,100.0,3.53
139,6134,136.5 x 69.7 x 7.5,136.5,69.7,7.5,5.37 x 2.74 x 0.30,5.37,2.74,0.3,126.0,4.44
140,6130,136 x 70 x 7.3,136.0,70.0,7.3,5.35 x 2.76 x 0.29,5.35,2.76,0.29,128.0,4.52
141,6135,129.5 x 63.5 x 8.5,129.5,63.5,8.5,5.10 x 2.5 x 0.33,5.1,2.5,0.33,116.0,4.09
142,6131,129 x 63.5 x 7.9,129.0,63.5,7.9,5.08 x 2.5 x 0.31,5.08,2.5,0.31,110.0,3.88
143,6132,97 x 56.2 x 12,97.0,56.2,12.0,3.82 x 2.21 x 0.47,3.82,2.21,0.47,78.0,2.75
144,5960,112 x 61.5 x 12.8,112.0,61.5,12.8,4.41 x 2.42 x 0.50,4.41,2.42,0.5,89.0,3.14
145,6167,112 x 61.5 x 12.8,112.0,61.5,12.8,4.41 x 2.42 x 0.50,4.41,2.42,0.5,89.0,3.14
146,5937,140.4 x 69.1 x 7.9,140.4,69.1,7.9,5.53 x 2.72 x 0.31,5.53,2.72,0.31,125.0,4.41
147,5938,151 x 77.5 x 9.5,151.0,77.5,9.5,5.94 x 3.05 x 0.37,5.94,3.05,0.37,189.0,6.67
148,5947,209 x 123 x 7.9,209.0,123.0,7.9,8.23 x 4.84 x 0.31,8.23,4.84,0.31,325.0,11.46
149,5939,192 x 113 x 8.9,192.0,113.0,8.9,7.56 x 4.45 x 0.35,7.56,4.45,0.35,285.0,10.05
150,5741,130.3 x 67 x 9,130.3,67.0,9.0,5.13 x 2.64 x 0.35,5.13,2.64,0.35,130.0,4.59
151,5740,121.5 x 64 x 11.8,121.5,64.0,11.8,4.78 x 2.52 x 0.46,4.78,2.52,0.46,136.5,4.83
152,5693,141 x 71.8 x 9.9,141.0,71.8,9.9,5.55 x 2.83 x 0.39,5.55,2.83,0.39,162.0,5.71
153,5692,131.5 x 67.9 x 11.5,131.5,67.9,11.5,5.18 x 2.67 x 0.45,5.18,2.67,0.45,157.0,5.54
154,5687,122 x 64.4 x 12,122.0,64.4,12.0,4.80 x 2.54 x 0.47,4.8,2.54,0.47,110.0,3.88
155,5691,112.5 x 62 x 12,112.5,62.0,12.0,4.43 x 2.44 x 0.47,4.43,2.44,0.47,100.0,3.53
156,5680,222 x 152.5 x 9,222.0,152.5,9.0,8.74 x 6.00 x 0.35,8.74,6.0,0.35,415.0,14.64
157,5671,138 x 66.6 x 7.5,138.0,66.6,7.5,5.43 x 2.62 x 0.30,5.43,2.62,0.3,117.4,4.16
158,5672,158.5 x 80.6 x 8.5,158.5,80.6,8.5,6.24 x 3.17 x 0.33,6.24,3.17,0.33,177.6,6.24
159,5668,133.5 x 66.8 x 7.4,133.5,66.8,7.4,5.26 x 2.63 x 0.29,5.26,2.63,0.29,110.0,3.88
160,5669,127.1 x 62 x 7.9,127.1,62.0,7.9,5.00 x 2.44 x 0.31,5.0,2.44,0.31,96.0,3.39
161,5449,192 x 117.6 x 11.3,192.0,117.6,11.3,7.56 x 4.63 x 0.44,7.56,4.63,0.44,340.0,11.99
162,5335,134 x 69.6 x 10.9,134.0,69.6,10.9,5.28 x 2.74 x 0.43,5.28,2.74,0.43,,
163,5681,115 x 62.3 x 12.2,115.0,62.3,12.2,4.53 x 2.45 x 0.48,4.53,2.45,0.48,118.0,4.16
164,5334,130.3 x 67 x 9,130.3,67.0,9.0,5.13 x 2.64 x 0.35,5.13,2.64,0.35,,
165,5318,140.4 x 67.5 x 6.9,140.4,67.5,6.9,5.53 x 2.66 x 0.27,5.53,2.66,0.27,130.0,4.59
166,5319,115 x 62.3 x 12.2,115.0,62.3,12.2,4.53 x 2.45 x 0.48,4.53,2.45,0.48,108.0,3.81
167,5296,117.9 x 60.8 x 9.7,117.9,60.8,9.7,4.64 x 2.39 x 0.38,4.64,2.39,0.38,,4.2
168,5332,143 x 78.4 x 9.8,143.0,78.4,9.8,5.63 x 3.09 x 0.39,5.63,3.09,0.39,163.0,5.75
169,5236,191 x 127 x 11,191.0,127.0,11.0,7.52 x 5.0 x 0.43,7.52,5.0,0.43,390.0,13.76
170,5235,197 x 120 x 10,197.0,120.0,10.0,7.76 x 4.72 x 0.39,7.76,4.72,0.39,350.0,12.35
171,5234,202 x 154 x 9.5,202.0,154.0,9.5,7.95 x 6.06 x 0.37,7.95,6.06,0.37,400.0,14.11
172,5233,192.8 x 121 x 9.5,192.8,121.0,9.5,7.59 x 4.76 x 0.37,7.59,4.76,0.37,350.0,12.35
173,5232,191 x 125 x 9.1,191.0,125.0,9.1,7.52 x 4.92 x 0.36,7.52,4.92,0.36,350.0,12.35
174,5231,134.4 x 68.5 x 6.5,134.4,68.5,6.5,5.29 x 2.70 x 0.26,5.29,2.7,0.26,115.0,4.06
175,5230,133 x 67.5 x 7.9,133.0,67.5,7.9,5.24 x 2.66 x 0.31,5.24,2.66,0.31,109.0,3.84
176,5229,115 x 62.3 x 12.2,115.0,62.3,12.2,4.53 x 2.45 x 0.48,4.53,2.45,0.48,118.0,4.16
177,5228,115 x 61.2 x 12.2,115.0,61.2,12.2,4.53 x 2.41 x 0.48,4.53,2.41,0.48,122.0,4.3
178,5242,121.5 x 64 x 11.8,121.5,64.0,11.8,4.78 x 2.52 x 0.46,4.78,2.52,0.46,136.5,4.8
179,5227,,,,,,,,,,
180,5226,144 x 75 x 8.7,144.0,75.0,8.7,5.67 x 2.95 x 0.34,5.67,2.95,0.34,135.0,4.76
181,5225,144 x 75 x 8.5,144.0,75.0,8.5,5.67 x 2.95 x 0.33,5.67,2.95,0.33,,
182,5218,144 x 75 x 8.5,144.0,75.0,8.5,5.67 x 2.95 x 0.33,5.67,2.95,0.33,135.0,4.76
183,5139,114.5 x 61 x 12.5,114.5,61.0,12.5,4.51 x 2.40 x 0.49,4.51,2.4,0.49,136.0,4.8
184,5110,129.8 x 68 x 11,129.8,68.0,11.0,5.11 x 2.68 x 0.43,5.11,2.68,0.43,143.0,5.04
185,5165,129.8 x 68 x 11,129.8,68.0,11.0,5.11 x 2.68 x 0.43,5.11,2.68,0.43,143.0,5.04
186,5866,124 x 64.2 x 10.7,124.0,64.2,10.7,4.88 x 2.53 x 0.42,4.88,2.53,0.42,,
187,5103,127.4 x 66.1 x 10.9,127.4,66.1,10.9,5.02 x 2.60 x 0.43,5.02,2.6,0.43,144.5,5.08
188,5080,119.9 x 66 x 13.7,119.9,66.0,13.7,4.72 x 2.60 x 0.54,4.72,2.6,0.54,155.0,5.47
189,4846,124.4 x 63.9 x 11.4,124.4,63.9,11.4,4.90 x 2.52 x 0.45,4.9,2.52,0.45,150.0,5.29
190,4845,110 x 57.6 x 12.5,110.0,57.6,12.5,4.33 x 2.27 x 0.49,4.33,2.27,0.49,114.0,4.02
191,4844,115 x 61 x 12.5,115.0,61.0,12.5,4.53 x 2.40 x 0.49,4.53,2.4,0.49,101.0,3.56
192,4843,92.5 x 46 x 17.2,92.5,46.0,17.2,3.64 x 1.81 x 0.68,3.64,1.81,0.68,76.0,2.68
193,4842,98 x 54 x 12.7,98.0,54.0,12.7,3.86 x 2.13 x 0.5,3.86,2.13,0.5,,
194,4780,130 x 70 x 9.8,130.0,70.0,9.8,5.12 x 2.76 x 0.39,5.12,2.76,0.39,,
195,4733,122 x 68 x 10.8,122.0,68.0,10.8,4.80 x 2.68 x 0.43,4.8,2.68,0.43,131.3,4.62
196,4732,117 x 64.8 x 11.6,117.0,64.8,11.6,4.61 x 2.55 x 0.46,4.61,2.55,0.46,126.0,4.44
197,4731,104 x 58 x 12,104.0,58.0,12.0,4.09 x 2.28 x 0.47,4.09,2.28,0.47,93.0,3.28
198,4730,115 x 61 x 10.4,115.0,61.0,10.4,4.53 x 2.40 x 0.41,4.53,2.4,0.41,103.2,3.63
199,4920,115 x 61 x 13,115.0,61.0,13.0,4.53 x 2.40 x 0.51,4.53,2.4,0.51,103.0,3.63
200,4729,106 x 58 x 12.3,106.0,58.0,12.3,4.17 x 2.28 x 0.48,4.17,2.28,0.48,126.8,4.44
201,4728,88 x 58 x 15.5,88.0,58.0,15.5,3.46 x 2.28 x 0.61,3.46,2.28,0.61,101.0,3.56
202,4727,106 x 58 x 11.9,106.0,58.0,11.9,4.17 x 2.28 x 0.47,4.17,2.28,0.47,76.0,2.68
203,4726,103 x 58 x 11.9,103.0,58.0,11.9,4.06 x 2.28 x 0.47,4.06,2.28,0.47,76.0,2.68
204,4725,109 x 46 x 14,109.0,46.0,14.0,4.29 x 1.81 x 0.55,4.29,1.81,0.55,71.0,2.5
205,4724,109 x 46 x 14,109.0,46.0,14.0,4.29 x 1.81 x 0.55,4.29,1.81,0.55,71.0,2.5
206,4723,109 x 46 x 14,109.0,46.0,14.0,4.29 x 1.81 x 0.55,4.29,1.81,0.55,69.0,2.43
207,4722,110 x 56.5 x 13.5,110.0,56.5,13.5,4.33 x 2.22 x 0.53,4.33,2.22,0.53,88.0,3.1
208,4721,94 x 45 x 18,94.0,45.0,18.0,3.70 x 1.77 x 0.71,3.7,1.77,0.71,67.0,2.36
209,4720,106 x 46 x 14.4,106.0,46.0,14.4,4.17 x 1.81 x 0.57,4.17,1.81,0.57,63.0,2.22
210,4663,116 x 61.8 x 12.5,116.0,61.8,12.5,4.57 x 2.43 x 0.49,4.57,2.43,0.49,136.0,4.8
211,4549,119 x 58 x 11.9,119.0,58.0,11.9,4.69 x 2.28 x 0.47,4.69,2.28,0.47,123.4,4.34
212,4922,70 x 70 x 16.8,70.0,70.0,16.8,2.76 x 2.76 x 0.66,2.76,2.76,0.66,93.8,3.28
213,4321,109.3 x 57 x 14,109.3,57.0,14.0,4.30 x 2.24 x 0.55,4.3,2.24,0.55,103.0,3.63
