,Device ID,RAM
386,7243,2GB
387,7242,2GB
388,7562,4GB
389,7561,2GB
390,7698,512MB
391,7697,512MB
392,7696,512MB
393,7695,512MB
394,7694,512MB
395,7693,512MB
396,6742,2GB
397,6741,1GB
398,6665,1GB
399,6378,1GB
400,5797,1GB
401,5735,1GB
402,5685,1GB
403,5690,1GB
404,5070,512MB
405,5061,512MB
406,5072,1GB
407,5071,1GB
408,4910,1GB
409,4620,1GB
410,4621,1GB
411,4212,512MB
412,3848,512MB
413,3847,512MB
414,3849,512MB
415,3275,512MB
416,3716,512MB
417,3827,256MB
418,3828,256MB
419,12746,16GB
420,12746,24GB
421,12780,12GB
422,12780,16GB
423,12380,16GB
424,12380,8GB
425,12224,16GB
426,12223,12GB
427,12223,16GB
428,11880,16GB
429,11881,12GB
430,11881,16GB
431,11986,16GB
432,11882,12GB
433,11656,16GB
434,11656,6GB
435,11656,8GB
436,11648,18GB
437,11647,12GB
438,11647,16GB
439,11647,8GB
440,11053,18GB
441,11054,12GB
442,11054,16GB
443,11054,18GB
444,11054,8GB
445,11006,16GB
446,10892,8GB
447,10893,12GB
448,10893,16GB
449,10893,6GB
450,10893,8GB
451,10785,18GB
452,10784,16GB
453,10715,12GB
454,10715,16GB
455,10715,8GB
456,10393,8GB
457,10379,6GB
458,10379,8GB
459,10296,12GB
460,10296,16GB
461,10296,8GB
462,10328,12GB
463,10328,8GB
464,9770,12GB
465,9770,8GB
466,9698,12GB
467,9698,6GB
468,9698,8GB
469,9667,2GB
470,9634,3GB
471,9634,4GB
472,9633,3GB
473,9633,4GB
474,9410,3GB
475,9410,4GB
476,9410,6GB
477,9437,3GB
478,9437,4GB
479,9373,3GB
480,9372,2GB
481,9224,8GB
482,9194,1GB
483,9194,2GB
484,9173,3GB
485,9173,4GB
486,9173,6GB
487,9096,4GB
488,9096,6GB
489,9096,8GB
490,9061,4GB
491,9061,6GB
492,9068,3GB
493,9068,4GB
494,9097,2GB
495,9097,3GB
496,8953,2GB
497,8953,3GB
498,8953,4GB
499,8866,4GB
500,8783,6GB
501,8782,4GB
502,8782,6GB
503,8892,2GB
504,8862,3GB
505,8808,3GB
506,8808,4GB
507,8784,4GB
508,8811,2GB
509,8811,3GB
510,8814,2GB
511,8814,3GB
512,8810,3GB
513,8749,3GB
514,8801,3GB
515,8711,
516,8681,2GB
517,8579,2GB
518,8550,3GB
519,8543,4GB
520,8502,6GB
521,8502,8GB
522,8509,3GB
523,8509,4GB
524,8503,1GB
525,8493,4GB
526,8467,2GB
527,8425,2GB
528,8425,3GB
529,8425,4GB
530,8384,4GB
531,8370,3GB
532,8271,512MB
533,8218,4GB
534,8207,2GB
535,8207,3GB
536,8206,2GB
537,8206,4GB
538,8197,3GB
539,8197,4GB
540,8156,2GB
541,8156,3GB
542,8160,
543,8130,3GB
544,8130,4GB
545,8129,4GB
546,8129,6GB
547,8106,3GB
548,8106,4GB
549,8111,2GB
550,8111,3GB
551,8262,1GB
552,8097,1GB
553,8095,2GB
554,8045,2GB
555,8048,1GB
556,7866,2GB
557,7689,512MB
558,7690,512MB
559,7688,512MB
560,7733,3GB
561,7577,4GB
562,8474,1GB
563,8474,2GB
564,8465,2GB
565,7532,2GB
566,7368,2GB
567,7476,2GB
568,7475,4GB
569,7479,2GB
570,7479,3GB
571,7757,2GB
572,7757,3GB
573,7477,2GB
574,7477,3GB
575,7478,2GB
576,7474,2GB
577,7473,2GB
578,7444,1GB
579,7378,3GB
580,7367,2GB
581,7367,4GB
582,7366,2GB
583,7255,1GB
584,7255,2GB
585,7365,1GB
586,7365,2GB
587,7364,1GB
588,7256,1GB
589,7261,2GB
590,7261,3GB
591,7044,2GB
592,7120,2GB
593,6917,2GB
594,6917,4GB
595,7045,2GB
596,6982,1GB
597,6953,1GB
598,6953,2GB
