,Device ID,Sound
0,11706,0.0
1,11706,0.0
2,10981,0.0
3,10981,0.0
4,10980,0.0
5,10980,0.0
6,10679,0.0
7,10679,0.0
8,10680,0.0
9,10680,0.0
10,10682,0.0
11,10682,0.0
12,11659,0.0
13,11659,0.0
14,10618,0.0
15,10618,0.0
16,12017,0.0
17,12017,0.0
18,10500,0.0
19,10500,0.0
20,10501,0.0
21,10501,0.0
22,12041,0.0
23,12041,0.0
24,10490,0.0
25,10490,0.0
26,10016,0.0
27,10016,0.0
28,10017,0.0
29,10017,0.0
30,10018,0.0
31,10018,0.0
32,10019,0.0
33,10019,0.0
34,10042,0.0
35,10042,0.0
36,9842,0.0
37,9842,0.0
38,9843,0.0
39,9843,0.0
40,10108,0.0
41,10108,0.0
42,9837,0.0
43,9837,0.0
44,9601,0.0
45,9601,0.0
46,9600,0.0
47,9600,0.0
48,9599,0.0
49,9599,0.0
50,9598,0.0
51,9598,0.0
52,9510,0.0
53,9510,0.0
54,9511,0.0
55,9511,0.0
56,9985,0.0
57,9985,0.0
58,9574,0.0
59,9574,0.0
60,9291,0.0
61,9291,0.0
62,9271,0.0
63,9271,0.0
64,9012,0.0
65,9012,0.0
66,9004,0.0
67,9004,0.0
68,9084,0.0
69,9084,0.0
70,9085,0.0
71,9085,0.0
72,9086,0.0
73,9086,0.0
74,8989,0.0
75,8989,0.0
76,9986,0.0
77,9986,0.0
78,9093,0.0
79,9093,0.0
80,9094,0.0
81,9094,0.0
82,8844,0.0
83,8844,0.0
84,8832,0.0
85,8832,0.0
86,8843,0.0
87,8843,0.0
88,8830,0.0
89,8830,0.0
90,8819,0.0
91,8819,0.0
92,8803,0.0
93,8803,0.0
94,8569,0.0
95,8569,0.0
96,8639,0.0
97,8639,0.0
98,8591,0.0
99,8591,0.0
100,8590,0.0
101,8590,0.0
102,8589,0.0
103,8589,0.0
104,8512,0.0
105,8512,0.0
106,8377,0.0
107,8377,0.0
108,8352,0.0
109,8352,0.0
110,8298,0.0
111,8298,0.0
112,8205,0.0
113,8205,0.0
114,8157,0.0
115,8157,0.0
116,8105,0.0
117,8105,0.0
118,8060,0.0
119,8060,0.0
120,7937,0.0
121,7937,0.0
122,7936,0.0
123,7936,0.0
124,7935,0.0
125,7935,0.0
126,8449,0.0
127,8449,0.0
128,7896,0.0
129,7896,0.0
130,7897,0.0
131,7897,0.0
132,7856,0.0
133,7856,0.0
134,7851,0.0
135,7851,0.0
136,7847,0.0
137,7847,0.0
138,8167,0.0
139,8167,0.0
140,7846,0.0
141,7846,0.0
142,7845,0.0
143,7845,0.0
144,7844,0.0
145,7844,0.0
146,7843,0.0
147,7843,0.0
148,8230,0.0
149,8230,0.0
150,7776,0.0
151,7776,0.0
152,7720,0.0
153,7720,0.0
154,7709,0.0
155,7709,0.0
156,7708,0.0
157,7708,0.0
158,7570,0.0
159,7570,0.0
160,7652,0.0
161,7652,0.0
162,7571,0.0
163,7571,0.0
164,7549,0.0
165,7549,0.0
166,7548,0.0
167,7548,0.0
168,7547,0.0
169,7547,0.0
170,7546,0.0
171,7546,0.0
172,7545,0.0
173,7545,0.0
174,7544,0.0
175,7544,0.0
176,7543,0.0
177,7543,0.0
178,7190,0.0
179,7190,0.0
180,7234,0.0
181,7234,0.0
182,7189,0.0
183,7189,0.0
184,7081,0.0
185,7081,0.0
186,7080,0.0
187,7080,0.0
188,7092,0.0
189,7092,0.0
190,7093,nan
191,7093,nan
192,7094,nan
193,7094,nan
194,7098,0.0
195,7098,0.0
196,7097,0.0
197,7097,0.0
198,7096,0.0
199,7096,0.0
200,7095,Jack
201,7095,Loudspeaker
202,6936,Jack
203,6936,Loudspeaker
204,6935,Jack
205,6935,Loudspeaker
206,6934,Jack
207,6934,Loudspeaker
208,6933,Jack
209,6933,Loudspeaker
210,6979,Jack
211,6979,Loudspeaker
212,6932,Jack
213,6932,Loudspeaker
214,6774,Jack
215,6774,Loudspeaker
216,6773,Jack
217,6773,Loudspeaker
218,6732,Jack
219,6732,Loudspeaker
220,6712,Jack
221,6712,Loudspeaker
222,7123,Jack
223,7123,Loudspeaker
224,6700,Jack
225,6700,Loudspeaker
226,6699,Jack
227,6699,Loudspeaker
228,6657,Jack
229,6657,Loudspeaker
230,6656,Jack
231,6656,Loudspeaker
232,7154,Jack
233,7154,Loudspeaker
234,7153,Jack
235,7153,Loudspeaker
236,6655,Jack
237,6655,Loudspeaker
238,6654,Jack
239,6654,Loudspeaker
240,6653,Jack
241,6653,Loudspeaker
242,6619,Jack
243,6619,Loudspeaker
244,6599,Jack
245,6599,Loudspeaker
246,6516,Jack
247,6516,Loudspeaker
248,6459,Jack
249,6459,Loudspeaker
250,6931,Jack
251,6931,Loudspeaker
252,6695,Jack
253,6695,Loudspeaker
254,6696,Jack
255,6696,Loudspeaker
256,6337,Jack
257,6337,Loudspeaker
258,6336,0.0
259,6336,Loudspeaker
260,6165,Jack
261,6165,Loudspeaker
262,6164,nan
263,6164,nan
264,6153,Jack
265,6153,Loudspeaker
266,6152,Jack
267,6152,Loudspeaker
268,6151,Jack
269,6151,Loudspeaker
270,6141,nan
271,6141,nan
272,6140,Jack
273,6140,Loudspeaker
274,6139,Jack
275,6139,Loudspeaker
276,6138,Jack
277,6138,Loudspeaker
278,6134,Jack
279,6134,Loudspeaker
280,6130,Jack
281,6130,Loudspeaker
282,6135,Jack
283,6135,Loudspeaker
284,6131,Jack
285,6131,Loudspeaker
286,6132,Jack
287,6132,Loudspeaker
288,5960,Jack
289,5960,Loudspeaker
290,6167,Jack
291,6167,Loudspeaker
292,5937,Jack
293,5937,Loudspeaker
294,5938,Jack
295,5938,Loudspeaker
296,5947,Jack
297,5947,Loudspeaker
298,5939,Jack
299,5939,Loudspeaker
300,5741,Jack
301,5741,Loudspeaker
302,5740,Jack
303,5740,Loudspeaker
304,5693,Jack
305,5693,Loudspeaker
306,5692,Jack
307,5692,Loudspeaker
308,5687,Jack
309,5687,Loudspeaker
310,5691,Jack
