,Device ID,Name,Version
1595,12116,Android,12
1596,11976,Android,12
1597,11931,Android,12
1598,11930,Android,12
1599,11929,Android,12
1600,11912,Android,12
1601,11922,,
1602,11923,Android,12
1603,11924,Android,12
1604,11913,Android,12
1605,11919,Android,12
1606,11822,Android,12
1607,11742,Android,12
1608,11695,Android,12
1609,11663,Android,12
1610,11662,Android,12
1611,11605,Android,11
1612,11547,Android,11
1613,11876,Android,11
1614,11527,Android,12
1615,11526,Android,12
1616,11523,Android,12
1617,11497,Android,11
1618,11498,Android,12
1619,11499,Android,11
1620,11478,Android,11
1621,11473,Android,11
1622,11355,Android,11
1623,11221,Android,11
1624,11216,Android,11
1625,11214,Android,11
1626,11202,Android,11
1627,11201,Android,11
1628,11189,Android,11
1629,11157,Android,11
1630,11162,Android,11
1631,11161,Android,11
1632,10989,Android,11
1633,11097,Android,11
1634,11098,Android,11
1635,11031,Android,11
1636,10908,Android,11
1637,10907,Android,11
1638,10909,Android,11
1639,10891,Android,11
1640,10869,Android,11
1641,10868,Android,11
1642,10735,Android,10
1643,10699,Android,10
1644,10646,Android,10
1645,10622,Android,10
1646,10514,Android,10
1647,10515,Android,10
1648,10516,Android,10
1649,10452,Android,10
1650,10401,Android,10
1651,10367,Android,10
1652,10285,Android,9.0
1653,10175,Android,10
1654,10177,Android,10
1655,10272,Android,10
1656,10156,Android,10
1657,10128,Android,10
1658,10127,Android,10
1659,10116,Android,10
1660,10008,Android,9.0
1661,9980,Android,9.0
1662,9975,Android,9.0
1663,9927,Android,8.1
1664,9915,Android,9.0
1665,9856,Android,9.0
1666,9761,Android,9.0
1667,9680,Android,9.0
1668,9678,Android,9.0
1669,9679,Android,9.0
1670,9658,Android,
1671,9657,,
1672,9656,,
1673,9477,Android,8.1
1674,9423,Android,8.1
1675,9416,Android,8.1
1676,9420,Android,8.1
1677,9426,Android,8.1
1678,9417,Android,8.1
1679,9429,Android,8.1
1680,9430,Android,8.1
1681,9425,Android,8.0
1682,9421,Android,8.1
1683,9415,Android,7.0
1684,9414,Android,7.0
1685,9428,Android,7.0
1686,9427,Android,7.0
1687,9419,Android,7.0
1688,9418,Android,7.0
1689,9431,Android,7.0
1690,9479,Android,6.0
1691,9478,Android,6.0
1692,9422,Android,7.0
1693,9473,Android,6.0
1694,9472,Android,6.0
1695,9476,Android,6.0
1696,9475,Android,6.0
1697,9474,Android,6.0
1698,12783,Android,13
1699,12476,Android,13
1700,12443,Android,13
1701,12425,Android,13
1702,12071,Android,13
1703,12052,Android,12
1704,12521,Android,13
1705,11842,Android,12L
1706,11841,Android,12
1707,12162,Android,11
1708,11783,,
1709,11747,Android,12
1710,11711,Android,12
1711,11394,Android,12
1712,11331,Android,12
1713,12008,Android,11
1714,11143,Android,11
1715,11090,Android,11
1716,11091,Android,11
1717,10971,,
1718,10972,Android,10
1719,10988,,
1720,10990,Android,11
1721,10991,Android,11
1722,10992,Android,11
1723,10970,Android,11
1724,10924,,
1725,10925,Android,11
1726,10927,Android,11
1727,10926,Android,11
1728,10827,Android,11
1729,10839,Android,11
1730,10605,Android,10
1731,10630,Android,10
1732,10733,Android,10
1733,10405,Android,10
1734,10686,Android,10
1735,10406,Android,10
1736,10329,Android,10
1737,10224,Android,10
1738,10566,Android,9.0
1739,10360,Android,9.0
1740,10049,,
1741,9959,,
1742,9882,Android,9.0
1743,9821,Android,9.0
1744,9822,Android,9.0
1745,9826,Android,9.0
1746,9825,Android,9.0
1747,9824,Android,9.0
1748,9757,Android,9.0
1749,9754,Android,9.0
1750,9711,Android,9.0
1751,9671,Android,9.0
1752,9655,Android,9.0
1753,9609,Android,9.0
1754,9490,Android,8.1
1755,9436,Android,9.0
1756,9489,Android,8.1
1757,9349,Android,8.1
1758,9375,Android,8.1
1759,9374,Android,8.1
1760,9371,Android,8.1
1761,9222,Android,8.1
1762,9226,Android,8.0
1763,9225,Android,8.0
1764,9144,Android,8.0
1765,9143,Android,7.1
1766,9116,Android,8.0
1767,8973,Android,7.0
1768,8947,Android,7.0
1769,8942,Android,7.0
1770,8941,Android,7.0
1771,8834,Android,7.1.1
1772,8850,Android,7.1.1
1773,8794,Android,7.1.1
1774,8605,Android,7.1
1775,8604,Android,7.1
1776,8603,Android,7.0
1777,8602,Android,7.0
1778,8559,Android,6.0.1
1779,8423,Android,7.0
1780,8376,Android,6.0
1781,8375,Android,6.0
1782,8506,Android,6.0
1783,8320,Android,5.1
1784,8319,Android,6.0.1
1785,8318,Android,6.0
1786,8317,Android,6.0
1787,8316,Android,6.0
1788,9744,Android,6.0
1789,8311,,
1790,8208,Android,5.1
1791,8368,,
1792,8193,Android,6.0
1793,8147,Android,6.0
1794,8146,Android,6.0
1795,8145,Android,6.0
1796,8125,Android,6.0.1
1797,8101,Android,5.1.1
1798,8038,Android,6.0.1
1799,7953,Android,6.0.1
1800,7952,Android,6.0.1
1801,7951,Android,6.0
1802,7947,Android,5.1
1803,7946,Android,5.1
1804,7939,Android,5
1805,7918,Android,5.1
1806,7878,Android,5.1
1807,7865,Android,5.1
1808,7850,Android,5.1
1809,7802,Android,5.1.1
1810,7756,Android,5.1
1811,7755,Android,5.1
1812,7742,Android,5.1
1813,8549,Android,6.0
1814,7642,Android,5.1
1815,7605,Android,5.0
1816,8142,Android,5.1
1817,7557,Android,5.0
1818,7539,Android,5.1
1819,7711,Android,5
1820,7552,Android,5
1821,7540,Android,5.1
1822,7354,Android,5.0
1823,7511,Android,5.1.1
1824,7507,Android,5.1
1825,8043,Android,4.4
1826,7233,Android,4.4.2
1827,7216,,
1828,7214,Android,4.4.2
1829,7197,Android,4.4.4
1830,7192,Android,4.4.2
1831,7147,Android,5.2
1832,7046,Android,5.0.2
1833,7886,Android,5.0
1834,7088,Android,5.0.2
1835,7167,Android,4.4.2
1836,7089,Android,4.4.4
1837,7090,Android,5.0
1838,7063,Android,4.4
1839,6956,Android,4.4.2
1840,8185,Android,4.4
1841,6955,Android,4.4
1842,6938,Android,4.4.4
1843,6920,Android,4.4
1844,6919,Android,4.4
1845,6848,Android,4.4.2
1846,6842,Android,4.4.2
1847,6855,Android,4.4.2
1848,6789,Android,4.4.2
1849,6788,Android,4.4.2
1850,6787,Android,4.3
1851,6739,Android,4.4.4
1852,6746,Android,4.4.2
1853,6852,Android,4.4.2
1854,6731,Android,4.4.2
1855,6730,Android,4.4.2
1856,6681,Android,4.4.2
1857,6643,Android,4.4
1858,6642,Android,4.4
1859,6595,Android,4.2.2
1860,6396,Android,4.4.2
1861,6529,Android,4.4.2
1862,6293,Android,4.2.2
1863,6370,Android,4.2
1864,6673,Android,4.2.1
1865,6369,Android,4.2.2
1866,6368,Android,4.2.2
1867,6296,Android,4.2.2
1868,6729,Android,4.4.2
1869,6674,Android,4.4.2
1870,6283,Android,4.2.2
1871,6282,Android,4.2.2
1872,6281,Android,4.2.2
1873,6280,Android,4.2.2
1874,6279,Android,4.2.2
1875,6166,Android,4.3
1876,6159,Android,4.2
1877,6158,Android,4.2
1878,6157,Android,4.2
1879,6047,Android,4.2.2
1880,5934,Android,4.2
1881,5894,Android,4.2.2
1882,5893,Android,4.2
1883,5843,Android,4.3
1884,5836,Android,4.2
1885,5835,Android,4.2
1886,5830,Android,4.0.4
1887,5851,Android,4.2.2
1888,5684,Android,4.2
1889,5683,Android,4.2
1890,5689,Android,4.2.2
1891,5612,Android,4.1
1892,5544,Android,4.2
1893,5486,Android,4.2
1894,5450,Android,4.0.4
