,Device ID,Brand
0,11706,alcatel
1,10981,alcatel
2,10980,alcatel
3,10679,alcatel
4,10680,alcatel
5,10682,alcatel
6,11659,alcatel
7,10618,alcatel
8,12017,alcatel
9,10500,alcatel
10,10501,alcatel
11,12041,alcatel
12,10490,alcatel
13,10016,alcatel
14,10017,alcatel
15,10018,alcatel
16,10019,alcatel
17,10042,alcatel
18,9842,alcatel
19,9843,alcatel
20,10108,alcatel
21,9837,alcatel
22,9601,alcatel
23,9600,alcatel
24,9599,alcatel
25,9598,alcatel
26,9510,alcatel
27,9511,alcatel
28,9985,alcatel
29,9574,alcatel
30,9291,alcatel
31,9271,alcatel
32,9012,alcatel
33,9004,alcatel
34,9084,alcatel
35,9085,alcatel
36,9086,alcatel
37,8989,alcatel
38,9986,alcatel
39,9093,alcatel
40,9094,alcatel
41,8844,alcatel
42,8832,alcatel
43,8843,alcatel
44,8830,alcatel
45,8819,alcatel
46,8803,alcatel
47,8569,alcatel
48,8639,alcatel
49,8591,alcatel
50,8590,alcatel
51,8589,alcatel
52,8512,alcatel
53,8377,alcatel
54,8352,alcatel
55,8298,alcatel
56,8205,alcatel
57,8157,alcatel
58,8105,alcatel
59,8060,alcatel
60,7937,alcatel
61,7936,alcatel
62,7935,alcatel
63,8449,alcatel
64,7896,alcatel
65,7897,alcatel
66,7856,alcatel
67,7851,alcatel
68,7847,alcatel
69,8167,alcatel
70,7846,alcatel
71,7845,alcatel
72,7844,alcatel
73,7843,alcatel
74,8230,alcatel
75,7776,alcatel
76,7720,alcatel
77,7709,alcatel
78,7708,alcatel
79,7570,alcatel
80,7652,alcatel
81,7571,alcatel
82,7549,alcatel
83,7548,alcatel
84,7547,alcatel
85,7546,alcatel
86,7545,alcatel
87,7544,alcatel
88,7543,alcatel
89,7190,alcatel
90,7234,alcatel
91,7189,alcatel
92,7081,alcatel
93,7080,alcatel
94,7092,alcatel
95,7093,
96,7094,
97,7098,alcatel
98,7097,alcatel
99,7096,alcatel
100,7095,alcatel
101,6936,alcatel
102,6935,alcatel
103,6934,alcatel
104,6933,alcatel
105,6979,alcatel
106,6932,alcatel
107,6774,alcatel
108,6773,alcatel
109,6732,alcatel
110,6712,alcatel
111,7123,alcatel
112,6700,alcatel
113,6699,alcatel
114,6657,alcatel
115,6656,alcatel
116,7154,alcatel
117,7153,alcatel
118,6655,alcatel
119,6654,alcatel
120,6653,alcatel
121,6619,alcatel
122,6599,alcatel
123,6516,alcatel
124,6459,alcatel
125,6931,alcatel
126,6695,alcatel
127,6696,alcatel
128,6337,alcatel
129,6336,alcatel
130,6165,alcatel
131,6164,
132,6153,alcatel
133,6152,alcatel
134,6151,alcatel
135,6141,
136,6140,alcatel
137,6139,alcatel
138,6138,alcatel
139,6134,alcatel
140,6130,alcatel
141,6135,alcatel
142,6131,alcatel
143,6132,alcatel
144,5960,alcatel
145,6167,alcatel
146,5937,alcatel
147,5938,alcatel
148,5947,alcatel
149,5939,alcatel
150,5741,alcatel
151,5740,alcatel
152,5693,alcatel
153,5692,alcatel
